"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C5,C7,C11,C24,C29,C33,C34,C35,C36,C37,C38,C39,C40,C45,C47,C55,C57,C60,C63,C65,C66,C67,C115,C125","26","33pF","","","","hackrf:GSG-0402",""
"C2,C4,C6,C10,C16,C19,C22,C30,C54,C56,C87,C88,C89,C92,C93,C162,C163","17","10nF","","","","hackrf:GSG-0402",""
"C8,C21,C32,C43,C48,C51,C84,C85,C86,C94,C99,C102","12","22pF","","","","hackrf:GSG-0402",""
"C9,C17,C18,C20,C23,C25,C28,C31,C44,C46,C49,C50,C58,C59,C61,C62,C64,C71,C73,C75,C77,C79,C81,C83,C91,C113,C119,C120,C121,C122,C123,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C144,C147,C148,C149,C150,C151,C152,C153,C154,C166,C167","57","100nF","","","","hackrf:GSG-0402",""
"C12,C13","2","330pF","","","","hackrf:GSG-0402",""
"C14","1","8p2","","","","hackrf:GSG-0402",""
"C15,C112","2","180pF","","","","hackrf:GSG-0402",""
"C26,C27,C116","3","47pF","","","","hackrf:GSG-0402",""
"C41,C42,C52,C70,C90,C160","6","100pF","","","","hackrf:GSG-0402",""
"C53,C106,C161,C171","4","1uF","","","","hackrf:GSG-0402",""
"C68,C69,C159,C165,C168","5","100pF","DNP","","","hackrf:GSG-0402",""
"C72,C74,C76,C78,C80,C82,C124","7","2.2uF","","","","hackrf:GSG-0402",""
"C95,C96,C101,C103,C107,C108,C109,C110","8","22pF","DNP","","","hackrf:GSG-0402",""
"C97,C98,C100","3","330nF","","","","hackrf:GSG-0402",""
"C104,C111","2","3pF","","","","hackrf:GSG-0402",""
"C105,C126,C127,C143,C145,C146","6","10uF","","","","hackrf:GSG-0805",""
"C114","1","3.3nF","","","","hackrf:GSG-0402",""
"C118,C157,C158,C164","4","18pF","","","","hackrf:GSG-0402",""
"C155,R35","2","DNP","DNP","","","hackrf:GSG-0805",""
"C156","1","47pF","DNP","","","hackrf:GSG-0402",""
"C169,C170","2","1.8pF","","","","hackrf:GSG-0402",""
"D1,D3,D9","3","GSG-DIODE-TVS-BI","","","","hackrf:GSG-0402",""
"D2","1","VAALED","","","","gsg-modules:LTST-S220",""
"D4","1","USBLED","","","","gsg-modules:LTST-S220",""
"D5","1","RXLED","","","","gsg-modules:LTST-S220",""
"D6","1","TXLED","","","","gsg-modules:LTST-S220",""
"D7","1","VCCLED","","","","gsg-modules:LTST-S220",""
"D8","1","1V8LED","","","","gsg-modules:LTST-S220",""
"D10","1","D_Schottky","","","","gsg-modules:DSN1006-2","~"
"FB1,FB2,FB3","3","FILTER","","","","hackrf:GSG-0805",""
"J1","1","USB-MICRO-B","","","","hackrf:GSG-USB-MICROB-FCI-10103592-EXT",""
"J2","1","RF-SHIELD-FRAME","DNP","","","hackrf:GSG-SHIELD-BMI-S-230",""
"J3","1","RF-SHIELD-COVER","DNP","","Excluded from board","",""
"J4,J5,J6,J7,J8,J9","6","MOUNTING_HOLE","","Excluded from BOM","","hackrf:GSG-HOLE126MIL-COPPER",""
"J10","1","GND_CLIP","DNP","","","hackrf:GSG-TEST-POINT-S1751-46R",""
"JP1","1","Jumper","","Excluded from BOM","","gsg-modules:0603-JUMPER","~"
"L1,L4,L6,L8,L9","5","DNP","DNP","","","hackrf:GSG-0402",""
"L2,L3,L5,L12,L13","5","10uH","","","","hackrf:GSG-0603",""
"L7","1","6.2nH","","","","hackrf:GSG-0402",""
"L10,L11","2","4u7","","","","hackrf:GSG-NRG4026",""
"NT1","1","1V8","DNP","","","gsg-modules:HEADER-1x2-SHORTED","~"
"NT2","1","VCC","DNP","","","gsg-modules:HEADER-1x2-SHORTED","~"
"NT3","1","VAA","DNP","","","gsg-modules:HEADER-1x2-SHORTED","~"
"P2","1","CLKOUT","","","","hackrf:GSG-SMA-73251-2120",""
"P3","1","GND","DNP","","","hackrf:GSG-HEADER-NOMARK-1x2",""
"P4","1","ANTENNA","","","","hackrf:GSG-SMA-73251-2120",""
"P5","1","LEDS","DNP","","","hackrf:GSG-HEADER-2x3",""
"P6","1","GPO4","","Excluded from BOM","","hackrf:GSG-TESTPOINT-50MIL",""
